日期,小时,模型充电量(度),订单充电量(度),差异(模型-订单)(度)
20260613,05:00,143.5662,135.9145,7.6517
20260613,06:00,180.4228,154.916,25.5068
20260613,07:00,175.5624,196.4051,-20.8427
20260613,08:00,183.6512,182.2548,1.3964
20260613,09:00,289.0511,247.394,41.6571
20260613,10:00,148.3455,131.1248,17.2207
20260613,11:00,209.3022,191.1353,18.1669
20260613,12:00,336.8046,266.8764,69.9282
20260613,13:00,281.2108,257.877,23.3338
20260613,14:00,210.6672,185.9087,24.7585
20260613,15:00,136.4291,132.3675,4.0616
20260613,16:00,196.6251,181.4221,15.203
20260613,17:00,163.3181,135.3213,27.9968
20260613,18:00,84.1149,77.6596,6.4553
20260613,19:00,79.4,64.926,14.474
20260613,20:00,86.45,73.0493,13.4007
20260613,21:00,45.7,35.3377,10.3623
20260613,22:00,42.075,32.9711,9.1039
20260613,23:00,52.65,38.0077,14.6423
20260614,00:00,277.7333,264.0491,13.6842
20260614,01:00,94.9583,87.8275,7.1308
20260614,02:00,107.7083,65.3821,42.3262
20260614,03:00,151.55,152.3451,-0.7951
20260614,04:00,58.4917,63.6522,-5.1605
20260614,05:00,47.5801,33.8608,13.7193
20260614,06:00,111.8863,99.2161,12.6702
20260614,07:00,267.4401,273.1076,-5.6675
20260614,08:00,201.1045,197.3618,3.7427
20260614,09:00,132.2418,104.635,27.6068
20260614,10:00,92.5216,71.1899,21.3317
20260614,11:00,250.3658,194.85,55.5158
20260614,12:00,408.8942,345.9243,62.9699
20260614,13:00,247.8402,235.9239,11.9163
20260614,14:00,173.1648,149.8167,23.3481
20260614,15:00,58.3572,47.3004,11.0568
20260614,16:00,123.7016,121.4691,2.2325
20260614,17:00,120.5224,111.5324,8.99
20260614,18:00,148.7462,131.5916,17.1546
20260614,19:00,70.475,60.1761,10.2989
20260614,20:00,122.55,112.3919,10.1581
20260614,21:00,54.075,42.942,11.133
20260614,22:00,23.675,16.6806,6.9944
20260614,23:00,40.025,29.176,10.849
20260615,00:00,202.7583,175.8911,26.8672
20260615,01:00,24.4333,19.0829,5.3504
20260615,02:00,86.25,61.1032,25.1468
20260615,03:00,141.9417,141.1291,0.8126
20260615,04:00,30.575,22.4597,8.1153
20260615,05:00,30.4282,25.8814,4.5468
20260615,06:00,162.199,133.2767,28.9223
20260615,07:00,219.084,234.856,-15.772
20260615,08:00,197.4925,188.028,9.4645
20260615,09:00,273.3985,255.849,17.5495
20260615,10:00,138.723,115.2133,23.5097
20260615,11:00,139.4472,120.4211,19.0261
20260615,12:00,402.5914,321.398,81.1934
20260615,13:00,270.3187,254.3028,16.0159
20260615,14:00,148.4598,134.1872,14.2726
20260615,15:00,62.6825,53.9658,8.7167
20260615,16:00,102.7647,98.0975,4.6672
20260615,17:00,145.0001,125.6828,19.3173
20260615,18:00,116.9551,92.3616,24.5935
20260615,19:00,162.2,131.5314,30.6686
20260615,20:00,67.575,58.2254,9.3496
20260615,21:00,67.375,60.8869,6.4881
20260615,22:00,38.35,27.69,10.66
20260615,23:00,56.9,43.814,13.086
20260616,00:00,204.2333,188.7302,15.5031
20260616,01:00,96.8917,86.4258,10.4659
20260616,02:00,120.7583,99.2211,21.5372
20260616,03:00,78.2833,60.7644,17.5189
20260616,04:00,37.9167,35.553,2.3637
20260616,05:00,88.2779,77.5947,10.6832
20260616,06:00,224.8033,204.7716,20.0317
20260616,07:00,160.8815,184.9075,-24.026
20260616,08:00,246.0301,226.6237,19.4064
20260616,09:00,217.5753,194.3734,23.2019
20260616,10:00,102.3745,75.5591,26.8154
20260616,11:00,270.5756,233.5039,37.0717
20260616,12:00,339.2892,281.3397,57.9495
20260616,13:00,239.9297,225.5551,14.3746
20260616,14:00,77.0866,69.1827,7.9039
20260616,15:00,80.2897,74.4839,5.8058
20260616,16:00,131.0386,117.543,13.4956
20260616,17:00,189.8395,165.2347,24.6048
20260616,18:00,117.8713,87.7688,30.1025
20260616,19:00,116.7523,85.3237,31.4286
20260616,20:00,38.975,27.3615,11.6135
20260616,21:00,23.35,16.0695,7.2805
20260616,22:00,11.4583,5.906,5.5523
20260616,23:00,6.85,0.0,6.85
20260617,00:00,321.9833,290.4354,31.5479
20260617,01:00,108.1667,91.4943,16.6724
20260617,02:00,35.1917,35.1407,0.051
20260617,03:00,80.525,57.7731,22.7519
20260617,04:00,84.85,86.1938,-1.3438
20260617,05:00,15.9,10.3717,5.5283
20260617,06:00,78.0446,60.024,18.0206
20260617,07:00,251.9837,268.2637,-16.28
20260617,08:00,219.8717,223.992,-4.1203
20260617,09:00,262.0327,241.6289,20.4038
20260617,10:00,148.1619,105.1874,42.9745
20260617,11:00,262.3302,212.3276,50.0026
20260617,12:00,309.4174,247.1299,62.2875
20260617,13:00,254.0644,234.7036,19.3608
20260617,14:00,119.2619,112.8557,6.4062
20260617,15:00,102.136,93.8852,8.2508
20260617,16:00,43.9088,48.349,-4.4402
20260617,17:00,175.6687,149.264,26.4047
20260617,18:00,136.0241,111.0233,25.0008
20260617,19:00,130.8728,106.4055,24.4673
20260617,20:00,157.825,133.4461,24.3789
20260617,21:00,115.75,99.1152,16.6348
20260617,22:00,9.025,4.5766,4.4484
20260617,23:00,32.55,21.2233,11.3267
20260618,00:00,334.4083,306.2727,28.1356
20260618,01:00,153.5333,131.5121,22.0212
20260618,02:00,195.3917,204.611,-9.2193
20260618,03:00,113.0333,93.0845,19.9488
20260618,04:00,78.8917,67.4902,11.4015
20260618,05:00,39.8188,34.0889,5.7299
20260618,06:00,110.6155,95.8346,14.7809
20260618,07:00,189.3247,203.6433,-14.3186
20260618,08:00,200.6365,202.8371,-2.2006
20260618,09:00,238.1988,216.0708,22.128
20260618,10:00,239.2063,201.3347,37.8716
20260618,11:00,266.4021,258.7825,7.6196
20260618,12:00,260.8383,202.2583,58.58
20260618,13:00,178.9552,173.4201,5.5351
20260618,14:00,155.8137,132.2042,23.6095
20260618,15:00,96.3114,86.4643,9.8471
20260618,16:00,113.5476,115.7809,-2.2333
20260618,17:00,169.8017,155.627,14.1747
20260618,18:00,102.775,71.9183,30.8567
20260618,19:00,187.375,175.1375,12.2375
20260618,20:00,110.4,91.859,18.541
20260618,21:00,27.425,21.7535,5.6715
20260618,22:00,93.125,73.238,19.887
20260618,23:00,48.525,48.0418,0.4832
20260619,00:00,240.6167,222.5169,18.0998
20260619,01:00,18.2917,18.4641,-0.1724
20260619,02:00,102.125,82.7228,19.4022
20260619,03:00,100.1917,76.0679,24.1238
20260619,04:00,65.2333,62.8982,2.3351
20260619,05:00,64.1774,63.4999,0.6775
20260619,06:00,209.1316,161.7733,47.3583
20260619,07:00,152.9022,215.2695,-62.3673
20260619,08:00,166.5291,200.1182,-33.5891
20260619,09:00,22.5931,40.4057,-17.8126
20260619,10:00,62.5287,88.2625,-25.7338
20260619,11:00,145.0063,131.2562,13.7501
20260619,12:00,343.8687,291.7861,52.0826
20260619,13:00,255.5628,248.5111,7.0517
20260619,14:00,42.7142,76.478,-33.7638
20260619,15:00,2.5505,26.5807,-24.0302
20260619,16:00,55.332,86.4279,-31.0959
20260619,17:00,77.2571,88.0942,-10.8371
20260619,18:00,19.3485,5.7256,13.6229
20260619,19:00,35.3942,23.9109,11.4833
20260619,20:00,84.575,67.1734,17.4016
20260619,21:00,18.175,12.345,5.83
