日期,小时,总站总负载(度),订单充电量(度),拟合工厂用电(度),拟合工厂平均功率(kW)
20260610,19:00,101.15,86.405,20.7755,20.7755
20260610,20:00,50.65,43.6259,14.6896,14.6896
20260610,21:00,102.475,83.1274,23.9884,23.9884
20260610,22:00,28.35,22.5,10.2079,10.2079
20260610,23:00,26.5,18.6176,8.5016,8.5016
20260611,00:00,271.9333,240.5031,57.7717,57.7717
20260611,01:00,82.5667,84.9573,6.1548,6.1548
20260611,02:00,57.025,49.6862,9.8094,9.8094
20260611,03:00,177.0167,133.3583,44.7434,44.7434
20260611,04:00,78.75,87.7445,2.9186,2.9186
20260611,05:00,59.5214,48.938,15.5528,15.5528
20260611,06:00,99.7908,82.8769,21.4428,21.4428
20260611,07:00,233.4877,197.6513,36.1094,36.1094
20260611,08:00,249.564,195.1087,56.9199,56.9199
20260611,09:00,317.6562,234.4571,83.1992,83.1992
20260611,10:00,221.6556,152.288,69.3675,69.3675
20260611,11:00,213.9881,132.1207,81.8674,81.8674
20260611,12:00,291.1001,224.113,67.5292,67.5292
20260611,13:00,314.4407,255.4782,62.2573,62.2573
20260611,14:00,197.3106,130.7683,66.5423,66.5423
20260611,15:00,163.7326,102.7262,61.2549,61.2549
20260611,16:00,272.0761,189.5891,88.0612,88.0612
20260611,17:00,248.655,194.7572,56.3788,56.3788
20260611,18:00,107.4087,84.3963,26.5764,26.5764
20260611,19:00,177.4332,146.5096,37.4841,37.4841
20260611,20:00,142.775,93.2333,49.5417,49.5417
20260611,21:00,76.925,58.3216,19.2637,19.2637
20260611,22:00,9.525,4.5915,5.65,5.65
20260611,23:00,12.525,9.7773,7.7894,7.7894
20260612,00:00,229.8083,207.592,36.777,36.777
20260612,01:00,109.325,92.9705,25.43,25.43
20260612,02:00,42.325,36.8395,11.2932,11.2932
20260612,03:00,96.2083,48.6559,49.6754,49.6754
20260612,04:00,41.25,63.5116,1.7976,1.7976
20260612,05:00,61.5488,48.8728,19.2872,19.2872
20260612,06:00,121.3176,111.1013,17.7956,17.7956
20260612,07:00,281.4501,237.5097,48.0109,48.0109
20260612,08:00,295.6422,245.6553,51.0071,51.0071
20260612,09:00,312.5387,238.4255,74.1132,74.1132
20260612,10:00,272.606,179.4228,93.2422,93.2422
20260612,11:00,384.4531,263.5495,120.9036,120.9036
20260612,12:00,393.3017,337.4407,59.828,59.828
20260612,13:00,348.7734,274.0761,74.6973,74.6973
20260612,14:00,121.4833,32.8763,88.607,88.607
20260612,15:00,131.1407,68.4856,62.6551,62.6551
20260612,16:00,190.9901,126.0302,64.9599,64.9599
20260612,17:00,159.3344,81.6274,77.707,77.707
20260612,18:00,102.8692,92.3871,16.2562,16.2562
20260612,19:00,166.9659,141.5044,30.979,30.979
20260612,20:00,115.1667,101.8109,23.3857,23.3857
20260612,21:00,73.45,56.5999,16.8501,16.8501
20260612,22:00,12.425,3.9184,8.5668,8.5668
20260612,23:00,41.1,40.4471,8.4499,8.4499
20260613,00:00,376.1167,331.1766,55.7804,55.7804
20260613,01:00,132.175,124.4042,17.1614,17.1614
20260613,02:00,64.5583,58.2651,8.5134,8.5134
20260613,03:00,90.025,71.437,21.5995,21.5995
20260613,04:00,176.85,148.3217,34.9226,34.9226
20260613,05:00,143.5662,135.9145,16.4986,16.4986
20260613,06:00,180.4228,154.916,28.1711,28.1711
20260613,07:00,225.5624,196.4051,39.2675,39.2675
20260613,08:00,233.6512,182.2548,52.9111,52.9111
20260613,09:00,339.0511,247.394,91.6571,91.6571
20260613,10:00,198.3455,131.1248,67.2207,67.2207
20260613,11:00,259.3022,191.1353,68.1668,68.1668
20260613,12:00,336.8046,266.8764,72.3684,72.3684
20260613,13:00,331.2108,257.877,74.1876,74.1876
20260613,14:00,260.6672,185.9087,75.9484,75.9484
20260613,15:00,186.4291,132.3675,60.0717,60.0717
20260613,16:00,246.6251,181.4221,66.6736,66.6736
20260613,17:00,213.3181,135.3213,77.9968,77.9968
20260613,18:00,84.1149,77.6596,12.2021,12.2021
20260613,19:00,79.4,64.926,15.388,15.388
20260613,20:00,86.45,73.0493,17.1015,17.1015
20260613,21:00,45.7,35.3377,11.1898,11.1898
20260613,22:00,42.075,32.9711,14.1948,14.1948
20260613,23:00,52.65,38.0077,16.9886,16.9886
20260614,00:00,277.7333,264.0491,30.9096,30.9096
20260614,01:00,94.9583,87.8275,13.5344,13.5344
20260614,02:00,107.7083,65.3821,43.182,43.182
20260614,03:00,151.55,152.3451,7.9258,7.9258
20260614,04:00,58.4917,63.6522,8.2385,8.2385
20260614,05:00,47.5801,33.8608,16.9562,16.9562
20260614,06:00,111.8863,99.2161,17.9942,17.9942
20260614,07:00,317.4401,273.1076,44.3325,44.3325
20260614,08:00,251.1045,197.3618,56.7246,56.7246
20260614,09:00,182.2418,104.635,77.6068,77.6068
20260614,10:00,142.5216,71.1899,71.3317,71.3317
20260614,11:00,300.3658,194.85,105.5159,105.5159
20260614,12:00,408.8942,345.9243,65.6323,65.6323
20260614,13:00,297.8402,235.9239,68.841,68.841
20260614,14:00,223.1648,149.8167,73.3482,73.3482
20260614,15:00,108.3573,47.3004,61.0569,61.0569
20260614,16:00,173.7016,121.4691,52.2325,52.2325
20260614,17:00,170.5224,111.5324,58.99,58.99
20260614,18:00,148.7462,131.5916,25.245,25.245
20260614,19:00,70.475,60.1761,17.6239,17.6239
20260614,20:00,122.55,112.3919,21.2401,21.2401
20260614,21:00,54.075,42.942,14.2763,14.2763
20260614,22:00,23.675,16.6806,8.2328,8.2328
20260614,23:00,40.025,29.176,10.849,10.849
20260615,00:00,202.7583,175.8911,34.3808,34.3808
20260615,01:00,24.4333,19.0829,5.9743,5.9743
20260615,02:00,86.25,61.1032,33.0823,33.0823
20260615,03:00,141.9417,141.1291,18.8187,18.8187
20260615,04:00,30.575,22.4597,9.9757,9.9757
20260615,05:00,30.4282,25.8814,10.2935,10.2935
20260615,06:00,162.199,133.2767,28.9223,28.9223
20260615,07:00,269.084,234.856,44.336,44.336
20260615,08:00,247.4925,188.028,59.4645,59.4645
20260615,09:00,323.3985,255.849,75.4922,75.4922
20260615,10:00,188.723,115.2133,75.2976,75.2976
20260615,11:00,189.4472,120.4211,69.0261,69.0261
20260615,12:00,402.5914,321.398,81.1934,81.1934
20260615,13:00,320.3187,254.3028,66.016,66.016
20260615,14:00,198.4598,134.1872,64.2726,64.2726
20260615,15:00,112.6825,53.9658,60.3758,60.3758
20260615,16:00,152.7647,98.0975,54.6672,54.6672
20260615,17:00,195.0001,125.6828,69.7827,69.7827
20260615,18:00,116.9551,92.3616,31.4131,31.4131
20260615,19:00,162.2,131.5314,44.715,44.715
20260615,20:00,67.575,58.2254,11.8473,11.8473
20260615,21:00,67.375,60.8869,9.5564,9.5564
20260615,22:00,38.35,27.69,17.6632,17.6632
20260615,23:00,56.9,43.814,15.3811,15.3811
20260616,00:00,204.2333,188.7302,30.5926,30.5926
20260616,01:00,96.8917,86.4258,15.4657,15.4657
20260616,02:00,120.7583,99.2211,30.0678,30.0678
20260616,03:00,78.2833,60.7644,21.3048,21.3048
20260616,04:00,37.9167,35.553,8.0185,8.0185
20260616,05:00,88.2779,77.5947,18.3508,18.3508
20260616,06:00,224.8033,204.7716,27.732,27.732
20260616,07:00,210.8815,184.9075,35.4978,35.4978
20260616,08:00,296.0301,226.6237,69.4064,69.4064
20260616,09:00,267.5753,194.3734,73.9785,73.9785
20260616,10:00,152.3745,75.5591,76.8154,76.8154
20260616,11:00,320.5756,233.5039,87.0717,87.0717
20260616,12:00,339.2892,281.3397,60.923,60.923
20260616,13:00,289.9297,225.5551,66.5485,66.5485
20260616,14:00,126.4896,69.1827,57.3069,57.3069
20260616,15:00,130.2897,74.4839,55.8057,55.8057
20260616,16:00,181.0386,117.543,63.4956,63.4956
20260616,17:00,239.8395,165.2347,74.6048,74.6048
20260616,18:00,117.8713,87.7688,31.9256,31.9256
20260616,19:00,116.7523,85.3237,36.35,36.35
20260616,20:00,38.975,27.3615,12.4342,12.4342
20260616,21:00,23.35,16.0695,8.3916,8.3916
20260616,22:00,11.4583,5.906,9.6179,9.6179
20260616,23:00,6.85,0.0,6.85,6.85
20260617,00:00,321.9833,290.4354,66.8127,66.8127
20260617,01:00,108.1667,91.4943,22.7793,22.7793
20260617,02:00,35.1917,35.1407,5.4734,5.4734
20260617,03:00,80.525,57.7731,26.3133,26.3133
20260617,04:00,84.85,86.1938,15.1659,15.1659
20260617,05:00,15.9,10.3717,6.1086,6.1086
20260617,06:00,78.0446,60.024,21.4734,21.4734
20260617,07:00,301.9837,268.2637,45.7464,45.7464
20260617,08:00,269.8717,223.992,50.0772,50.0772
20260617,09:00,312.0327,241.6289,70.4038,70.4038
20260617,10:00,198.1619,105.1874,97.227,97.227
20260617,11:00,312.3302,212.3276,100.0027,100.0027
20260617,12:00,309.4174,247.1299,62.2875,62.2875
20260617,13:00,304.0644,234.7036,72.1441,72.1441
20260617,14:00,169.2619,112.8557,56.7546,56.7546
20260617,15:00,151.3448,93.8852,57.4595,57.4595
20260617,16:00,93.2525,48.349,44.9035,44.9035
20260617,17:00,225.6687,149.264,76.4048,76.4048
20260617,18:00,136.0241,111.0233,28.5587,28.5587
20260617,19:00,130.8728,106.4055,30.0925,30.0925
20260617,20:00,157.825,133.4461,30.6797,30.6797
20260617,21:00,115.75,99.1152,18.4995,18.4995
20260617,22:00,9.025,4.5766,4.5281,4.5281
20260617,23:00,32.55,21.2233,13.5971,13.5971
20260618,00:00,334.4083,306.2727,45.5482,45.5482
20260618,01:00,153.5333,131.5121,32.2074,32.2074
20260618,02:00,195.3917,204.611,13.3838,13.3838
20260618,03:00,113.0333,93.0845,20.8104,20.8104
20260618,04:00,78.8917,67.4902,14.1102,14.1102
20260618,05:00,39.8188,34.0889,11.6612,11.6612
20260618,06:00,110.6155,95.8346,21.4341,21.4341
20260618,07:00,239.3247,203.6433,37.3273,37.3273
20260618,08:00,250.6365,202.8371,48.4703,48.4703
20260618,09:00,288.1988,216.0708,72.128,72.128
20260618,10:00,289.2063,201.3347,88.1976,88.1976
20260618,11:00,316.4021,258.7825,58.4165,58.4165
20260618,12:00,260.8383,202.2583,62.1315,62.1315
20260618,13:00,228.9552,173.4201,57.2646,57.2646
20260618,14:00,205.8137,132.2042,75.2221,75.2221
20260618,15:00,146.1455,86.4643,59.6812,59.6812
20260618,16:00,163.5476,115.7809,47.7667,47.7667
20260618,17:00,219.8017,155.627,66.8926,66.8926
20260618,18:00,102.775,71.9183,34.1251,34.1251
20260618,19:00,187.375,175.1375,33.0125,33.0125
20260618,20:00,110.4,91.859,20.9546,20.9546
20260618,21:00,27.425,21.7535,7.5004,7.5004
20260618,22:00,93.125,73.238,19.9715,19.9715
20260618,23:00,48.525,48.0418,7.2667,7.2667
20260619,00:00,240.6167,222.5169,36.9802,36.9802
20260619,01:00,18.2917,18.4641,6.2398,6.2398
20260619,02:00,102.125,82.7228,24.0524,24.0524
20260619,03:00,100.1917,76.0679,25.7971,25.7971
20260619,04:00,65.2333,62.8982,10.6289,10.6289
20260619,05:00,64.1774,63.4999,13.9854,13.9854
20260619,06:00,209.1316,161.7733,50.3388,50.3388
20260619,07:00,202.9022,215.2695,8.0643,8.0643
20260619,08:00,214.1216,200.1182,27.2807,27.2807
20260619,09:00,54.8427,40.4057,31.1228,31.1228
20260619,10:00,110.6989,88.2625,29.6094,29.6094
20260619,11:00,195.0063,131.2562,66.4912,66.4912
20260619,12:00,343.8687,291.7861,63.3896,63.3896
20260619,13:00,305.5628,248.5111,57.0517,57.0517
20260619,14:00,92.4409,76.478,19.6596,19.6596
20260619,15:00,40.3,26.5807,13.875,13.875
20260619,16:00,105.332,86.4279,22.1655,22.1655
20260619,17:00,124.5686,88.0942,40.0463,40.0463
20260619,18:00,19.3485,5.7256,13.6229,13.6229
20260619,19:00,35.3942,23.9109,11.4834,11.4834
20260619,20:00,84.575,67.1734,18.8049,18.8049
20260619,21:00,18.175,12.345,9.3528,9.3528
20260619,22:00,25.6667,15.3598,12.6783,12.6783
20260619,23:00,64.3417,51.12,15.1219,15.1219
20260620,00:00,314.425,289.2094,46.792,46.792
20260620,01:00,117.5833,96.4615,26.6276,26.6276
20260620,02:00,115.125,109.1905,14.8333,14.8333
20260620,03:00,67.95,75.8932,1.5021,1.5021
20260620,04:00,58.2,43.3343,15.1307,15.1307
20260620,05:00,50.8134,42.183,13.5604,13.5604
20260620,06:00,66.3822,58.6997,11.6731,11.6731
20260620,07:00,293.3976,234.2063,60.2902,60.2902
20260620,08:00,224.9532,182.8521,49.3138,49.3138
20260620,09:00,297.0474,186.7515,114.2964,114.2964
20260620,10:00,242.0102,169.1506,75.8043,75.8043
20260620,11:00,262.5911,179.4712,83.1199,83.1199
20260620,12:00,300.1996,221.6932,82.0272,82.0272
20260620,13:00,339.3773,254.0058,87.8311,87.8311
20260620,14:00,180.088,124.7926,57.2006,57.2006
20260620,15:00,123.7502,60.0007,63.7496,63.7496
20260620,16:00,185.8832,107.4041,78.4791,78.4791
20260620,17:00,135.3148,66.6917,69.1979,69.1979
20260620,18:00,116.6428,83.5415,34.0589,34.0589
20260620,19:00,79.6644,53.218,30.5723,30.5723
20260620,20:00,31.5,19.3951,15.7655,15.7655
20260620,21:00,74.0583,57.4567,18.8308,18.8308
20260620,22:00,52.25,41.5922,11.5698,11.5698
20260620,23:00,9.8167,0.0,9.8167,9.8167
20260621,00:00,249.7,224.9897,46.508,46.508
20260621,01:00,100.9167,87.1723,21.2287,21.2287
20260621,02:00,107.325,75.4163,32.1303,32.1303
20260621,03:00,190.8417,166.5471,44.6335,44.6335
20260621,04:00,94.9667,92.7578,12.1017,12.1017
20260621,05:00,41.9953,24.4817,17.5137,17.5137
20260621,06:00,138.1988,107.51,34.0001,34.0001
20260621,07:00,284.9719,249.278,42.6848,42.6848
20260621,08:00,154.4147,102.5873,51.8275,51.8275
20260621,09:00,243.6265,146.2577,97.3688,97.3688
20260621,10:00,289.109,202.6998,89.5472,89.5472
20260621,11:00,286.447,192.2305,95.2721,95.2721
20260621,12:00,365.4979,276.9244,95.8013,95.8013
20260621,13:00,269.5507,198.6438,71.8094,71.8094
20260621,14:00,170.6502,102.6394,68.0109,68.0109
20260621,15:00,222.7263,143.766,78.9603,78.9603
20260621,16:00,315.3433,237.7885,79.4855,79.4855
20260621,17:00,358.3625,260.4851,97.8774,97.8774
20260621,18:00,203.6705,151.7627,56.1653,56.1653
20260621,19:00,144.3101,111.5638,35.7497,35.7497
20260621,20:00,80.525,54.2846,27.125,27.125
20260621,21:00,31.325,21.1309,11.8621,11.8621
20260621,22:00,91.825,76.9588,23.0096,23.0096
20260621,23:00,19.975,7.6561,12.8333,12.8333
